UF;ANO;VALOR
RR;2020;1.862.930.489,06
RR;2021;1.819.573.494,59
RR;2022;1.742.402.126,66
RS;2015;68.758.439.746,54
RS;2016;73.796.963.283,16
RS;2017;77.125.188.257,52
RS;2018;84.197.551.753,92
RS;2019;89.255.394.236,00
RS;2020;96.932.316.134,67
RS;2021;101.492.347.672,97
RS;2022;109.730.161.265,03
SC;2015;21.025.026.280,98
SC;2016;22.489.998.259,76
SC;2017;23.224.812.961,96
SC;2018;23.973.367.865,79
SC;2019;23.192.973.232,43
SC;2020;24.114.475.029,76
SC;2021;22.973.722.924,79
SC;2022;22.326.592.495,72
SE;2015;4.842.102.139,40
SE;2016;4.665.572.020,04
SE;2017;4.853.258.854,59
SE;2018;4.508.064.645,85
SE;2019;4.867.202.795,35
SE;2020;4.597.012.280,33
SE;2021;4.695.762.275,12
SE;2022;4.874.338.138,52
SP;2015;271.550.301.886,08
SP;2016;279.144.606.693,74
SP;2017;294.905.097.117,37
SP;2018;311.794.212.065,99
SP;2019;312.714.946.015,94
SP;2020;328.439.772.752,97
SP;2021;321.369.575.120,49
SP;2022;332.702.923.995,99
TO;2015;3.270.150.236,68
TO;2016;3.076.926.621,72
TO;2017;3.398.117.257,74
TO;2018;3.332.544.720,16
TO;2019;5.419.222.082,30
TO;2020;5.313.965.354,05
TO;2021;4.707.120.989,97
TO;2022;3.866.790.311,36
