Data;25394 - Índice de Atividade Econômica Regional - São Paulo - IBCR-SP - com ajuste sazonal - Índice;28311 - Índice de emprego formal - São Paulo - Índice
07/2020;139,48 ;-
08/2020;141,47 ;-
09/2020;145,24 ;-
10/2020;145,99 ;-
11/2020;146,59 ;-
12/2020;147,68 ;-
01/2021;147,23 ;-
02/2021;146,87 ;-
03/2021;144,86 ;-
04/2021;144,23 ;-
05/2021;145,69 ;-
06/2021;146,66 ;-
07/2021;145,35 ;-
08/2021;145,98 ;-
09/2021;145,21 ;-
10/2021;143,33 ;-
11/2021;145,98 ;-
12/2021;148,37 ;-
01/2022;148,43 ;-
02/2022;148,57 ;-
03/2022;151,51 ;-
04/2022;149,34 ;-
05/2022;147,88 ;-
06/2022;148,81 ;-
07/2022;150,42 ;-
08/2022;149,47 ;-
09/2022;148,50 ;-
10/2022;150,26 ;-
11/2022;151,82 ;-
12/2022;149,19 ;-
01/2023;148,79 ;-
02/2023;149,85 ;-
03/2023;150,86 ;-
04/2023;150,78 ;-
05/2023;150,96 ;-
06/2023;150,70 ;-
07/2023;151,15 ;-
08/2023;151,51 ;-
09/2023;151,65 ;-
10/2023;151,41 ;-
11/2023;153,57 ;-
12/2023;153,88 ;-
01/2024;154,32 ;-
02/2024;154,52 ;-
03/2024;154,67 ;-
04/2024;155,99 ;-
05/2024;156,37 ;-
06/2024;159,71 ;-
07/2024;157,00 ;-
08/2024;157,04 ;-
09/2024;158,40 ;-
10/2024;157,84 ;-
11/2024;157,04 ;-
Fonte;BCB-Depec;MTb
