Data;25404 - Índice de Atividade Econômica Regional - Rio Grande do Sul - IBCR-RS - com ajuste sazonal - Índice;28315 - Índice de emprego formal - Rio Grande do Sul - Índice
07/2020;125,56 ;-
08/2020;128,58 ;-
09/2020;130,61 ;-
10/2020;131,56 ;-
11/2020;132,72 ;-
12/2020;132,69 ;-
01/2021;134,37 ;-
02/2021;137,94 ;-
03/2021;134,61 ;-
04/2021;136,89 ;-
05/2021;134,68 ;-
06/2021;133,31 ;-
07/2021;133,53 ;-
08/2021;132,79 ;-
09/2021;132,68 ;-
10/2021;135,77 ;-
11/2021;139,42 ;-
12/2021;134,69 ;-
01/2022;130,23 ;-
02/2022;129,27 ;-
03/2022;134,54 ;-
04/2022;131,48 ;-
05/2022;132,39 ;-
06/2022;133,15 ;-
07/2022;133,04 ;-
08/2022;132,98 ;-
09/2022;134,35 ;-
10/2022;136,00 ;-
11/2022;141,25 ;-
12/2022;134,48 ;-
01/2023;135,02 ;-
02/2023;134,80 ;-
03/2023;133,89 ;-
04/2023;136,84 ;-
05/2023;137,79 ;-
06/2023;137,07 ;-
07/2023;135,86 ;-
08/2023;137,36 ;-
09/2023;135,89 ;-
10/2023;135,72 ;-
11/2023;136,49 ;-
12/2023;136,79 ;-
01/2024;138,76 ;-
02/2024;144,43 ;-
03/2024;143,29 ;-
04/2024;142,17 ;-
05/2024;131,07 ;-
06/2024;141,44 ;-
07/2024;142,94 ;-
08/2024;141,66 ;-
09/2024;142,41 ;-
10/2024;142,42 ;-
11/2024;142,80 ;-
Fonte;BCB-Depec;MTb
