Data;25410 - Índice de Atividade Econômica Regional - Pará - IBCR-PA - com ajuste sazonal - Índice;28303 - Índice de emprego formal - Pará - Índice
08/2020;167,44 ;-
09/2020;169,69 ;-
10/2020;170,48 ;-
11/2020;166,55 ;-
12/2020;168,63 ;-
01/2021;174,35 ;-
02/2021;167,99 ;-
03/2021;166,22 ;-
04/2021;166,36 ;-
05/2021;165,88 ;-
06/2021;165,38 ;-
07/2021;164,35 ;-
08/2021;170,09 ;-
09/2021;167,75 ;-
10/2021;165,00 ;-
11/2021;171,17 ;-
12/2021;169,76 ;-
01/2022;162,76 ;-
02/2022;167,45 ;-
03/2022;166,49 ;-
04/2022;165,99 ;-
05/2022;158,25 ;-
06/2022;173,31 ;-
07/2022;176,36 ;-
08/2022;171,92 ;-
09/2022;168,78 ;-
10/2022;172,35 ;-
11/2022;165,48 ;-
12/2022;167,26 ;-
01/2023;168,70 ;-
02/2023;173,92 ;-
03/2023;177,30 ;-
04/2023;181,70 ;-
05/2023;179,77 ;-
06/2023;187,76 ;-
07/2023;183,17 ;-
08/2023;169,49 ;-
09/2023;176,80 ;-
10/2023;174,52 ;-
11/2023;173,91 ;-
12/2023;174,57 ;-
01/2024;177,46 ;-
02/2024;178,50 ;-
03/2024;186,45 ;-
04/2024;184,66 ;-
05/2024;185,79 ;-
06/2024;199,95 ;-
07/2024;196,58 ;-
08/2024;182,90 ;-
09/2024;185,94 ;-
10/2024;187,67 ;-
11/2024;190,85 ;-
Fonte;BCB-Depec;MTb
